x,wpdf,fpdf,supdf,sppdf
2.151140114011401,0.3277556171286125,0.22801051960541618,0.19163252053219929,0.2511450148904821
2.152465246524652,0.32784543625368484,0.2280651981167895,0.1917509348797226,0.25127538248853404
2.1537903790379036,0.327934750446639,0.22811967776962483,0.19186917907049686,0.25140544823899874
2.155115511551155,0.3280235599330192,0.22817395867597592,0.191987252999098,0.25153521205798246
2.156440644064406,0.3281118649402032,0.22822804094818192,0.19210515656068466,0.2516646738627438
2.1577657765776577,0.3281996656973952,0.2282819246988665,0.19222288965099765,0.25179383357169227
2.1590909090909087,0.3282869624356215,0.228335610040937,0.19234045216635898,0.2519226911043858
2.1604160416041602,0.32837375538772484,0.22838909708758337,0.19245784400367136,0.2520512463815294
2.1617411741174117,0.3284600447883595,0.22844238595227714,0.1925750650604175,0.25217949932497297
2.163066306630663,0.3285458308739849,0.22849547674877055,0.19269211523465912,0.25230744985770953
2.1643914391439143,0.3286311138828618,0.22854836959109545,0.19280899442503693,0.2524350979038737
2.1657165716571654,0.3287158940550462,0.22860106459356247,0.19292570253076888,0.25256244338873907
2.167041704170417,0.32880017163238345,0.22865356187076,0.19304223945165042,0.2526894862387172
2.1683668366836684,0.3288839468585043,0.2287058615375529,0.19315860508805327,0.25281622638135487
2.1696919691969194,0.32896721997881845,0.22875796370908222,0.1932747993409248,0.25294266374533286
2.171017101710171,0.3290499912405093,0.2288098685007635,0.1933908221117875,0.2530687982604641
2.172342234223422,0.3291322608925301,0.22886157602828655,0.1935066733027381,0.2531946298576913
2.1736673667366735,0.3292140291855964,0.2289130864076134,0.1936223528164467,0.2533201584690853
2.174992499249925,0.32929529637218247,0.22896439975497876,0.19373786055615658,0.2534453840278435
2.176317631763176,0.32937606270651576,0.22901551618688762,0.1938531964256826,0.2535703064682872
2.1776427642764276,0.3294563284445705,0.22906643582011563,0.1939683603294118,0.2536949257258608
2.1789678967896786,0.3295360938440637,0.22911715877170682,0.19408335217230124,0.25381924173712883
2.18029302930293,0.3296153591644497,0.22916768515897398,0.19419817185987825,0.25394325443977495
2.1816181618161816,0.3296941246669137,0.22921801509949644,0.1943128192982395,0.25406696377259946
